"Date","CIK","Score"
"1995-01-30","809844",""
"1995-03-06","859687",""
"1995-03-03","854157",""
"1995-03-27","350071",""
"1995-03-29","835402",""
"1995-02-15","883202",""
"1995-03-31","52466",""
"1995-03-31","73902",""
"1995-01-10","25598",""
"1995-02-13","928422",""
"1995-06-02","747576",""
"1995-05-30","71516",""
"1995-05-18","201499",""
"1995-04-24","725549",""
"1995-05-03","276550",""
"1995-06-08","918992",""
"1995-05-01","825759",""
"1995-04-24","774352",""
"1995-06-23","932101",""
"1995-06-29","202131",""
"1995-09-15","881329",""
"1995-09-08","780127",""
"1995-08-11","351116",""
"1995-09-11","850506",""
"1995-08-08","60527",""
"1995-08-04","79282",""
"1995-08-23","726735",""
"1995-08-10","810999",""
"1995-07-24","18734",""
"1995-07-27","88205",""
"1995-10-24","895629",""
"1995-11-01","908996",""
"1995-10-25","925692",""
"1995-10-13","771641",""
"1995-11-14","802524",""
"1995-12-20","45941",""
"1995-11-29","778108",""
"1995-11-13","725806",""
"1995-12-01","716407",""
"1995-11-13","818033",""
"1996-01-17","803719",""
"1996-03-14","277948",""
"1996-02-13","792570",""
"1996-02-29","355916",""
"1996-02-13","864047",""
"1996-02-13","912938",""
"1996-02-15","9984",""
"1996-01-17","781165",""
"1996-03-13","1010324",""
"1996-03-28","812094",""
"1996-06-28","53117",""
"1996-06-05","892893",""
"1996-06-20","883032",""
"1996-04-23","888958",""
"1996-05-24","759828",""
"1996-05-13","727920",""
"1996-05-14","793604",""
"1996-05-24","860451",""
"1996-06-06","789132",""
"1996-05-09","354472",""
"1996-07-26","853022",""
"1996-09-17","920547",""
"1996-08-14","908186",""
"1996-07-26","1014693",""
"1996-07-29","773723",""
"1996-07-12","721176",""
"1996-07-23","65100",""
"1996-09-12","885390",""
"1996-08-26","811142",""
"1996-08-30","1000736",""
"1996-10-03","14343",""
"1996-11-12","1026247",""
"1996-10-10","926332",""
"1996-11-18","354761",""
"1996-10-03","948069",""
"1996-12-27","796299",""
"1996-10-04","84636",""
"1996-11-20","885638",""
"1996-12-30","1029814",""
"1996-11-14","44524",""
"1997-02-03","1016439",""
"1997-03-31","1030245",""
"1997-02-05","912462",""
"1997-03-10","853158",""
"1997-01-21","928234",""
"1997-02-25","67590",""
"1997-02-21","900475",""
"1997-02-10","315066",""
"1997-01-13","65384",""
"1997-03-07","1031623",""
"1997-06-09","881887",""
"1997-05-30","795422",""
"1997-05-05","909010",""
"1997-06-03","882748",""
"1997-06-19","825433",""
"1997-05-15","731269",""
"1997-04-29","832483",""
"1997-04-16","1030881",""
"1997-05-12","927807",""
"1997-05-09","824088",""
"1997-07-31","912766",""
"1997-08-29","763852",""
"1997-07-31","822977",""
"1997-09-15","1003477",""
"1997-07-14","36548",""
"1997-08-15","1040482",""
"1997-08-05","935814",""
"1997-07-03","1000579",""
"1997-09-16","20405",""
